keyword_pencarian,username,timestamp,text
nikel papua,nico delanoHenry@P.,2025-09-15T11:58:40.000Z,"Maaf... Jokowi  sebelum di PDIP  kehidupan keluarga pas2an, karena  Jokowi tidak  kerja. nganggur.   
Perhiasan  istri  Jokowi.. adalah 
Hasil  Emas Freeport.. dan  Nikel  di Papua.  Erlangga dan Bobi  Ekspor  Biji Nikel  sebanyak  5 juta  Ton.
Atas  perintah Jokowi."
nikel papua,inilahcom,2025-09-15T09:53:37.000Z,"Setelah sempat gaduh karena dituding merusak lingkungan Raja Ampat, Papua Barat Daya, PT Gag Nikel yang sahamnya dimiliki PT Antam (Persero/ANTM) Tbk, akhirnya diperbolehkan beroperasi."
nikel papua,detikcom,2025-09-15T09:46:00.000Z,"""Bukan (karena izin sudah dikembalikan), kalau itu kan (operasi) dalam rangka untuk evaluasi, audit lingkungan secara menyeluruh,"" kata Tri."
nikel papua,antaranews.com,2025-09-15T09:45:01.000Z,"ESDM menyebutkan PT GAG Nikel yang kembali beroperasi di Pulau Gag, Raja Ampat, Papua Barat Daya, merupakan salah satu proses evaluasi dan audit lingkungan."
nikel papua,Anti NEOPKI,2025-09-15T07:20:17.000Z,Raja Ampat memangil utk sumpa adat makan babi kenapa tambang nikel masih beroperasi.. RAKYAT PAPUA BERSUARA #papuaviral #Papua #rajaampat #tamangnikel #korupsi #beranimelawan #rakyattagihjanji
nikel papua,,2025-09-15T05:37:42.000Z,"Melihat fenomena Jawasentris itu, Eks Pres Jokowi mengubahnya mnjadi Indonesiasentris dimulai dari pergeseran simpul ekonomi ke Indonesia Timur. Pembangunan Trans Kalimantan termasuk IKN, Trans Sulawesi termasuk hilirisasi nikel, Pusat Pariwisata di Nusa Tenggara, Trans Papua dll"
nikel papua,Kompas.com,2025-09-15T05:22:14.000Z,"Presiden Prabowo Subianto meminta agar ada pengawasan yang lebih intensif terhadap tambang nikel PT Gag Nikel yang kembali beroperasi di kawasan Raja Ampat, Provinsi Papua Barat Daya.

Baca di sini: 
money.kompas.com/read/2025/09/1
…

~TA #RajaAmpat #Prabowo"
nikel papua,Girl,2025-09-15T04:25:24.000Z,"-Video 15 menit pertama di bioskop layaknya negara2 Komunis seperti Korut & RRC
-Perubahan peraturan impor bbm swasta oleh kementrian ESDM
-17+8 DPR
-Perahasiaan sata capres cawapres mendatang oleh kpu
-Pertambangan nikel di Papua dilanjut

Gua muak."
nikel papua,OposisiCerdas.com,2025-09-15T03:01:19.000Z,"Tambang Nikel di Papua Beroperasi Lagi, Susi Pudjiastuti Sedih: Mohon Hentikan Pak Prabowo"
nikel papua,ANTARA Jatim,2025-09-14T13:07:35.000Z,"Environment Minister Hanif Faisol Nurofiq highlighted that the government had obliged PT Gag Nikel to comply with strict provisions to ensure its activities cause no harm to the environment in Raja Ampat, Southwest Papua."
nikel papua,inilahcom,2025-09-14T08:45:02.000Z,"Setelah sempat gaduh karena dituding merusak lingkungan Raja Ampat, Papua Barat Daya, PT Gag Nikel yang sahamya dimiliki PT Antam (Persero/ANTM) Tbk, akhirnya diperbolehkan beroperasi.

Namun operasionalnya tetap dalam pengawasan Kementerian Lingkungan Hidup (LH). Karena ada"
nikel papua,jumintenjudeszs,2025-09-12T10:06:34.000Z,"Tambang Nikel di Pulau Gag Papua Sudah Beroperasi Lagi ...

detikFinance
finance.detik.com › energi
3 jam yang lalu"
nikel papua,Kita dan Bumi,2025-09-12T10:03:24.000Z,"Sumber:
cnbcindonesia.com, Selasa 9 September 2025 
cnbcindonesia.com/news/202509090
… 
greenpeace.org, Kamis 12 Juni 2025 
greenpeace.org/indonesia/lapo
… 
greenpeace.org, Selasa 9 September 2025 
greenpeace.org/indonesia/siar
… 
katadata.co.id, Senin 8 September 2025"
nikel papua,Noriko Padmakshi,2025-09-12T08:17:16.000Z,"PT Gag Nikel, a subsidiary of state-owned mining firm PT Aneka Tambang (Antam), has resumed operations in the Raja Ampat archipelago, Southwest Papua, after a temporary halt due to concerns over environmental damage. 
thejakartapost.com/business/2025/
…."
nikel papua,detikcom,2025-09-12T07:06:00.000Z,Operasional PT Gag Nikel di Raja Ampat kembali berjalan sejak 3 September 2025 setelah dihentikan. Kementerian ESDM memastikan kepatuhan akan aturan lingkungan.
nikel papua,BBC News Indonesia,2025-09-12T05:59:01.000Z,"Pemerintah Indonesia mengizinkan PT GAG Nikel untuk beroperasi kembali di Raja Ampat, Papua Barat Daya, sejak Rabu (03/09). Langkah ini dikritik pegiat lingkungan yang menyebutnya sebagai ""kabar buruk"" bagi upaya ""menyelamatkan RajaAmpat dari bahaya tambang nikel""."
nikel papua,gigin praginanto,2025-09-12T02:06:52.000Z,Kalau Peng-Peng sudah berkehendak apapun yang terjadi proyek harus tetap jalan. Cuan di atas segalanya.
nikel papua,Pikiran Rakyat,2025-09-12T02:03:11.000Z,"Aktivitas pertambangan di Pulau Gag, Raja Ampat, Papua Barat kembali beroperasi setelah sebelumnya dihentikan pada Juni 2025 karena mendapat banyak sorotan dan protes dari berbagai pihak.
.
Kementerian ESDM menyatakan bahwa PT Gag Nikel bisa beroperasi kembali sejak Rabu, 3"
nikel papua,Lone Wolf,2025-09-11T12:36:12.000Z,"Mengingatkan lagi, Raja Ampat itu rumah 75% spesies terumbu karang dunia

Pulau Gag, yang diobral buat PT. Gag Nikel, termasuk pulau kecil (6.500 ha) yang jelas dilarang ditambang & mengancam hidup orang Papua

Bukti buat pemerintah Papua gak lebih dari tanah kosong buat dikeruk"
